composition	day	replicate	concentration (ppb)	8 (cells/ml)	10 (cells/ml)	17 (cells/ml)	18 (cells/ml)	E18 (cells/ml)	23 ( cells/ml)	31 (cells/ml)	32 (cells/ml)	NO3- (mg/l)	PO43- (mg/l)	Si (mg/l)	Atrazine (ppb)
10/17/18/E18	0	3	250	0	19	551	441	459	0	0	0	NA	NA	NA	NA
10/18/E18/23	0	1	0	0	111	0	28	899	1889	0	0	NA	NA	NA	NA
10/18/E18/23	0	2	0	0	166	0	10	413	1816	0	0	NA	NA	NA	NA
10/18/E18/23	0	3	0	0	83	0	1	294	1632	0	0	NA	NA	NA	NA
10/18/E18/23	0	1	25	0	92	0	1	376	1825	0	0	NA	NA	NA	NA
10/18/E18/23	0	2	25	0	83	0	10	450	1944	0	0	NA	NA	NA	NA
10/18/E18/23	0	3	25	0	65	0	10	156	2164	0	0	NA	NA	NA	NA
10/18/E18/23	0	1	250	0	101	0	10	120	2338	0	0	NA	NA	NA	NA
10/18/E18/23	0	2	250	0	147	0	1	175	1559	0	0	NA	NA	NA	NA
10/18/E18/23	0	3	250	0	83	0	19	386	2091	0	0	NA	NA	NA	NA
17/18/E18/32	0	1	0	0	0	404	1	101	0	0	120	NA	NA	NA	NA
17/18/E18/32	0	2	0	0	0	376	10	56	0	0	101	NA	NA	NA	NA
17/18/E18/32	0	3	0	0	0	514	10	120	0	0	120	NA	NA	NA	NA
17/18/E18/32	0	1	25	0	0	551	10	193	0	0	92	NA	NA	NA	NA
17/18/E18/32	0	2	25	0	0	578	10	120	0	0	129	NA	NA	NA	NA
17/18/E18/32	0	3	25	0	0	752	19	303	0	0	175	NA	NA	NA	NA
17/18/E18/32	0	1	250	0	0	441	10	101	0	0	46	NA	NA	NA	NA
17/18/E18/32	0	2	250	0	0	138	1	83	0	0	83	NA	NA	NA	NA
17/18/E18/32	0	3	250	0	0	358	10	10	0	0	101	NA	NA	NA	NA
8/10/18/32	0	1	0	10	74	0	1	0	0	0	37	NA	NA	NA	NA
8/10/18/32	0	2	0	10	37	0	10	0	0	0	101	NA	NA	NA	NA
8/10/18/32	0	3	0	1	111	0	1	0	0	0	111	NA	NA	NA	NA
8/10/18/32	0	1	25	10	65	0	1	0	0	0	37	NA	NA	NA	NA
8/10/18/32	0	2	25	10	37	0	1	0	0	0	101	NA	NA	NA	NA
8/10/18/32	0	3	25	1	83	0	1	0	0	0	83	NA	NA	NA	NA
8/10/18/32	0	1	250	28	129	0	1	0	0	0	138	NA	NA	NA	NA
8/10/18/32	0	2	250	19	92	0	1	0	0	0	120	NA	NA	NA	NA
8/10/18/32	0	3	250	19	101	0	1	0	0	0	129	NA	NA	NA	NA
8/10/17/18/E18/31	0	1	0	7	76	317	1	56	0	35	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	2	0	1	69	227	1	76	0	42	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	3	0	7	131	289	1	83	0	49	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	1	25	14	42	214	1	49	0	35	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	2	25	1	83	276	1	56	0	28	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	3	25	1	111	441	1	97	0	42	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	1	250	7	97	289	1	104	0	42	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	2	250	21	76	454	14	90	0	21	0	NA	NA	NA	NA
8/10/17/18/E18/31	0	3	250	1	69	214	21	111	0	42	0	NA	NA	NA	NA
8/10/18/E18/23/31	0	1	0	1	97	0	7	166	530	62	0	NA	NA	NA	NA
8/10/18/E18/23/31	0	2	0	1	83	0	1	69	447	21	0	NA	NA	NA	NA
8/10/18/E18/23/31	0	3	0	14	76	0	7	104	1018	69	0	NA	NA	NA	NA
